Anno,Codice Istat,Comune,Densità
1990,26032,Giavera del Montello,187,14
1990,26033,Godega di Sant'Urbano,242,62
1990,26034,Gorgo al Monticano,139,03
1990,26035,Istrana,257,94
1990,26036,Loria,301,94
1990,26037,Mansuè,144,73
1990,26038,Mareno di Piave,258,61
1990,26039,Maser,181,39
1990,26040,Maserada sul Piave,218,84
1990,26041,Meduna di Livenza,161,2
1990,26042,Miane,107,18
1990,26043,Mogliano Veneto,551,68
1990,26044,Monastier di Treviso,131,66
1990,26045,Monfumo,122,63
1990,26046,Montebelluna,511,74
1990,26047,Morgano,288,43
1990,26048,Moriago della Battaglia,173,39
1990,26049,Motta di Livenza,226,2
1990,26050,Nervesa della Battaglia,181,08
1990,26051,Oderzo,392,13
1990,26052,Ormelle,192,32
1990,26053,Orsago,332,12
1990,26054,Paderno del Grappa,88,18
1990,26055,Paese,414,61
1990,26056,Pederobba,221,42
1990,26057,Pieve di Soligo,491,47
1990,26058,Ponte di Piave,188,7
1990,26059,Ponzano Veneto,338,84
1990,26060,Portobuffolè,138,2
1990,26061,Possagno,150,83
1990,26062,Povegliano,269,11
1990,26063,Preganziol,568,2
1990,26064,Quinto di Treviso,477,44
1990,26065,Refrontolo,132,27
1990,26066,Resana,254,55
1990,26067,Revine Lago,109,38
1990,26068,Riese Pio X,269,78
1990,26069,Roncade,184,75
1990,26070,Salgareda,169,96
1990,26071,San Biagio di Callalta,222,42
1990,26072,San Fior,304,67
1990,26073,San Pietro di Feletto,221,18
1990,26074,San Polo di Piave,191,64
1990,26075,Santa Lucia di Piave,327,42
1990,26076,San Vendemiano,438,39
1990,26077,San Zenone degli Ezzelini,266,45
1990,26078,Sarmede,164,27
1990,26079,Segusino,112,4
1990,26080,Sernaglia della Battaglia,273,58
1990,26081,Silea,461,85
1990,26082,Spresiano,337,69
1990,26083,Susegana,221,43
1990,26084,Tarzo,182,69
1990,26085,Trevignano,309,27
1990,26086,Treviso,1.511,46
1990,26087,Valdobbiadene,179,46
1990,26088,Vazzola,221,01
1990,26089,Vedelago,210,06
1990,26090,Vidor,218,64
1990,26091,Villorba,506,64
1990,26092,Vittorio Veneto,355,68
1990,26093,Volpago del Montello,191,45
1990,26094,Zenson di Piave,165,34
1990,26095,Zero Branco,293,37
1990,27001,Annone Veneto,127,8
1990,27002,Campagna Lupia,68,65
1990,27003,Campolongo Maggiore,382,21
1990,27004,Camponogara,452,06
1990,27005,Caorle,74,95
1990,27006,Cavarzere,121,13
1990,27007,Ceggia,227,75
1990,27008,Chioggia,289,38
1990,27009,Cinto Caomaggiore,144,88
1990,27010,Cona,52,89
1990,27011,Concordia Sagittaria,158,87
1990,27012,Dolo,573,44
1990,27013,Eraclea,125,69
1990,27014,Fiesso d'Artico,926,94
1990,27015,Fossalta di Piave,395,07
1990,27016,Fossalta di Portogruaro,184,25
1990,27017,Fossò,529,97
1990,27018,Gruaro,156,9
1990,27019,Jesolo,233,17
1990,27020,Marcon,411,42
1990,27021,Martellago,921,15
1990,27022,Meolo,195,47
1990,27023,Mira,373,13
1990,27024,Mirano,566,69
1990,27025,Musile di Piave,217,26
1990,27026,Noale,546,18
1990,27027,Noventa di Piave,315,5
1990,27028,Pianiga,457,41
1990,27029,Portogruaro,244,91
1990,27030,Pramaggiore,143,04
1990,27031,Quarto d'Altino,219,57
1990,27032,Salzano,632,75
1990,27033,San Donà di Piave,427,46
1990,27034,San Michele al Tagliamento,107,56
1990,27035,Santa Maria di Sala,388,34
1990,27036,San Stino di Livenza,167,84
1990,27037,Scorzè,468,13
1990,27038,Spinea,1.672,19
1990,27039,Stra,749,32
1990,27040,Teglio Veneto,171,96
1990,27041,Torre di Mosto,98,3
1990,27042,Venezia,694,77
1990,27043,Vigonovo,592,42
1990,27044,Cavallino-Treporti,
1990,28001,Abano Terme,822,48
1990,28002,Agna,162,67
1990,28003,Albignasego,851,17
1990,28004,Anguillara Veneta,243,98
1990,28005,Arquà Petrarca,153,99
1990,28006,Arre,158,18
1990,28007,Arzergrande,294,5
1990,28008,Bagnoli di Sopra,112,02
1990,28009,Baone,127,33
1990,28010,Barbona,93,57
1990,28011,Battaglia Terme,651,75
1990,28012,Boara Pisani,154,92
1990,28013,Borgoricco,289,07
1990,28014,Bovolenta,136,11
1990,28015,Brugine,263,79
1990,28016,Cadoneghe,1.064,82
1990,28017,Campodarsego,407,89
1990,28018,Campodoro,170,97
1990,28019,Camposampiero,441,39
1990,28020,Campo San Martino,386,44
1990,28021,Candiana,108,64
1990,28022,Carceri,157,04
1990,28023,Carmignano di Brenta,463,41
1990,28024,Carrara San Giorgio,313,87
1990,28025,Carrara Santo Stefano,159,27
1990,28026,Cartura,252,9
1990,28027,Casale di Scodosia,236,52
1990,28028,Casalserugo,316,24
1990,28029,Castelbaldo,121,49
1990,28030,Cervarese Santa Croce,246,75
1990,28031,Cinto Euganeo,105,89
1990,28032,Cittadella,494,23
1990,28033,Codevigo,78,28
1990,28034,Conselve,356,85
1990,28035,Correzzola,121,88
1990,28036,Curtarolo,396,1
1990,28037,Este,545,33
1990,28038,Fontaniva,355
1990,28039,Galliera Veneta,703,55
1990,28040,Galzignano Terme,229,31
1990,28041,Gazzo,136,79
1990,28042,Grantorto,267,95
1990,28043,Granze,134
1990,28044,Legnaro,434,59
1990,28045,Limena,392,82
1990,28046,Loreggia,258,85
1990,28047,Lozzo Atestino,130,16
1990,28048,Maserà di Padova,366,36
1990,28049,Masi,132,55
1990,28050,Massanzago,263,09
1990,28051,Megliadino San Fidenzio,118,8
1990,28052,Megliadino San Vitale,137,86
1990,28053,Merlara,141,29
1990,28054,Mestrino,336,99
1990,28055,Monselice,343,22
1990,28056,Montagnana,213,14
1990,28057,Montegrotto Terme,649,77
1990,28058,Noventa Padovana,1.049,79
1990,28059,Ospedaletto Euganeo,235,59
1990,28060,Padova,2.349,88
1990,28061,Pernumia,276,29
1990,28062,Piacenza d'Adige,81,82
1990,28063,Piazzola sul Brenta,249,71
1990,28064,Piombino Dese,262,99
1990,28065,Piove di Sacco,489,84
1990,28066,Polverara,235,84
1990,28067,Ponso,206,86
1990,28068,Pontelongo,327,29
1990,28069,Ponte San Nicolò,775,78
1990,28070,Pozzonovo,144,85
1990,28071,Rovolon,138,03
1990,28072,Rubano,857,42
1990,28073,Saccolongo,306,41
1990,28074,Saletto,224,65
1990,28075,San Giorgio delle Pertiche,378,94
1990,28076,San Giorgio in Bosco,184,91
1990,28077,San Martino di Lupari,453,19
1990,28078,San Pietro in Gu,236,35
1990,28079,San Pietro Viminario,177,19
1990,28080,Santa Giustina in Colle,321,58
1990,28081,Santa Margherita d'Adige,165,8
1990,28082,Sant'Angelo di Piove di Sacco,423,8
1990,28083,Sant'Elena,188,14
1990,28084,Sant'Urbano,76,66
1990,28085,Saonara,527,51
1990,28086,Selvazzano Dentro,959,86
1990,28087,Solesino,685,87
1990,28088,Stanghella,232,66
1990,28089,Teolo,248,47
1990,28090,Terrassa Padovana,138,99
1990,28091,Tombolo,584,94
1990,28092,Torreglia,305,81
1990,28093,Trebaseleghe,303,55
1990,28094,Tribano,200
1990,28095,Urbana,128,36
1990,28096,Veggiano,134,73
1990,28097,Vescovana,70,26
1990,28098,Vighizzolo d'Este,58,08
1990,28099,Vigodarzere,464,94
1990,28100,Vigonza,490,28
1990,28101,Villa del Conte,278,52
1990,28102,Villa Estense,149,53
1990,28103,Villafranca Padovana,280,7
1990,28104,Villanova di Camposampiero,368,8
1990,28105,Vo,169,1
1990,28106,Due Carrare,
1990,29001,Adria,187,16
1990,29002,Ariano nel Polesine,65,4
1990,29003,Arquà Polesine,144,41
1990,29004,Badia Polesine,227,42
1990,29005,Bagnolo di Po,70,14
1990,29006,Bergantino,155,89
1990,29007,Bosaro,206,31
1990,29008,Calto,80,42
1990,29009,Canaro,85,05
1990,29010,Canda,72,57
1990,29011,Castelguglielmo,89,55
1990,29012,Castelmassa,401,77
1990,29013,Castelnovo Bariano,86,05
1990,29014,Ceneselli,73,34
1990,29015,Ceregnano,136,55
1990,29016,Contarina,103,17
1990,29017,Corbola,142,69
1990,29018,Costa di Rovigo,192,15
1990,29019,Crespino,74,78
1990,29020,Donada,110,15
1990,29021,Ficarolo,163
1990,29022,Fiesso Umbertiano,151,85
1990,29023,Frassinelle Polesine,80,7
1990,29024,Fratta Polesine,141,22
1990,29025,Gaiba,93,71
1990,29026,Gavello,71,32
1990,29027,Giacciano con Baruchella,134,86
1990,29028,Guarda Veneta,70,54
1990,29029,Lendinara,227,1
1990,29030,Loreo,96,29
1990,29031,Lusia,200,11
1990,29032,Melara,118,18
1990,29033,Occhiobello,279,28
1990,29034,Papozze,85,3
1990,29035,Pettorazza Grimani,77,55
1990,29036,Pincara,77,97
1990,29037,Polesella,222,05
1990,29038,Pontecchio Polesine,121,62
1990,29039,Porto Tolle,49,11
1990,29040,Rosolina,78,18
1990,29041,Rovigo,482,42
1990,29042,Salara,91,82
1990,29043,San Bellino,79,6
1990,29044,San Martino di Venezze,129,9
1990,29045,Stienta,122,09
1990,29046,Taglio di Po,107,34
1990,29047,Trecenta,98,89
1990,29048,Villadose,160,95
1990,29049,Villamarzana,84,72
1990,29050,Villanova del Ghebbo,189,21
1990,29051,Villanova Marchesana,60,63
1990,29052,Porto Viro,
1991,23001,Affi,148,68
1991,23002,Albaredo d'Adige,175,48
1991,23003,Angiari,128,45
1991,23004,Arcole,247,84
1991,23005,Badia Calavena,81,46
1991,23006,Bardolino,111,11
1991,23007,Belfiore,99,32
1991,23008,Bevilacqua,130,03
1991,23009,Bonavigo,110,17
1991,23010,Boschi Sant'Anna,143,37
1991,23011,Bosco Chiesanuova,46,85
1991,23012,Bovolone,312,93
1991,23013,Brentino Belluno,46,69
1991,23014,Brenzone,45,91
1991,23015,Bussolengo,597,36
1991,23016,Buttapietra,258,76
1991,23017,Caldiero,462
1991,23018,Caprino Veronese,146,78
1991,23019,Casaleone,160,27
1991,23020,Castagnaro,124,09
1991,23021,Castel d'Azzano,955,53
1991,23022,Castelnuovo del Garda,228,42
1991,23023,Cavaion Veronese,266,69
1991,23024,Cazzano di Tramigna,101,63
1991,23025,Cerea,207,69
1991,23026,Cerro Veronese,147,3
1991,23027,Cologna Veneta,173,31
1991,23028,Colognola ai Colli,318,79
1991,23029,Concamarise,135,99
1991,23030,Costermano,140,7
1991,23031,Dolcè,69,76
1991,23032,Erbè,99,12
1991,23033,Erbezzo,24,31
1991,23034,Ferrara di Monte Baldo,6,28
1991,23035,Fumane,100,03
1991,23036,Garda,213,8
1991,23037,Gazzo Veronese,102,21
1991,23038,Grezzana,188,46
1991,23039,Illasi,180,82
1991,23040,Isola della Scala,148,97
1991,23041,Isola Rizza,160,39
1991,23042,Lavagno,341
1991,23043,Lazise,84,31
1991,23044,Legnago,330,35
1991,23045,Malcesine,49,77
1991,23046,Marano di Valpolicella,135,09
1991,23047,Mezzane di Sotto,91,22
1991,23048,Minerbe,155,24
1991,23049,Montecchia di Crosara,185,71
1991,23050,Monteforte d'Alpone,325,39
1991,23051,Mozzecane,174,18
1991,23052,Negrar,326,15
1991,23053,Nogara,198,43
1991,23054,Nogarole Rocca,91,46
1991,23055,Oppeano,148,57
1991,23056,Palù,81,28
1991,23057,Pastrengo,259,38
1991,23058,Pescantina,500,97
1991,23059,Peschiera del Garda,481,42
1991,23060,Povegliano Veronese,306,34
1991,23061,Pressana,135,57
1991,23062,Rivoli Veronese,94,08
1991,23063,Roncà,180,54
1991,23064,Ronco all'Adige,132,42
1991,23065,Roverchiara,130,87
1991,23066,Roveredo di Guà,121,16
1991,23067,Roverè Veronese,54,78
1991,23068,Salizzole,121,73
1991,23069,San Bonifacio,462,34
1991,23070,San Giovanni Ilarione,183,81
1991,23071,San Giovanni Lupatoto,1.062,29
1991,23072,Sanguinetto,307,62
1991,23073,San Martino Buon Albergo,377,13
1991,23074,San Mauro di Saline,47,79
1991,23075,San Pietro di Morubio,179,96
1991,23076,San Pietro in Cariano,537,03
1991,23077,Sant'Ambrogio di Valpolicella,387,71
1991,23078,Sant'Anna d'Alfaedo,56,66
1991,23079,San Zeno di Montagna,39,14
1991,23080,Selva di Progno,24,49
1991,23081,Soave,265,42
1991,23082,Sommacampagna,264,71
1991,23083,Sona,305,73
1991,23084,Sorgà,95,3
1991,23085,Terrazzo,124,45
1991,23086,Torri del Benaco,51,07
1991,23087,Tregnago,124,85
1991,23088,Trevenzuolo,87,51
1991,23089,Valeggio sul Mincio,146
1991,23090,Velo Veronese,43,05
1991,23091,Verona,1.282,46
1991,23092,Veronella,165,56
1991,23093,Vestenanova,104,01
1991,23094,Vigasio,196,68
1991,23095,Villa Bartolomea,101,65
1991,23096,Villafranca di Verona,470,71
1991,23097,Zevio,185,65
1991,23098,Zimella,196,48
1991,24001,Agugliaro,85,17
1991,24002,Albettone,90,27
1991,24003,Alonte,78,49
1991,24004,Altavilla Vicentina,479,62
1991,24005,Altissimo,122,69
1991,24006,Arcugnano,145,11
1991,24007,Arsiero,80,57
1991,24008,Arzignano,615,4
1991,24009,Asiago,40,33
1991,24010,Asigliano Veneto,102,59
1991,24011,Barbarano Vicentino,171,58
1991,24012,Bassano del Grappa,828,92
1991,24013,Bolzano Vicentino,227,91
1991,24014,Breganze,340,73
1991,24015,Brendola,214,85
1991,24016,Bressanvido,302,57
1991,24017,Brogliano,193,58
1991,24018,Caldogno,596,16
1991,24019,Caltrano,102,56
1991,24020,Calvene,107,28
1991,24021,Camisano Vicentino,253,53
1991,24022,Campiglia dei Berici,159,32
1991,24023,Campolongo sul Brenta,85,3
1991,24024,Carrè,324,23
1991,24025,Cartigliano,451,07
1991,24026,Cassola,870,68
1991,24027,Castegnero,186,33
1991,24028,Castelgomberto,272,57
1991,24029,Chiampo,505,83
1991,24030,Chiuppano,511,54
1991,24031,Cismon del Grappa,31,5
1991,24032,Cogollo del Cengio,86,12
1991,24033,Conco,82,86
1991,24034,Cornedo Vicentino,404,21
1991,24035,Costabissara,377,14
1991,24036,Creazzo,945,58
1991,24037,Crespadoro,41,39
1991,24038,Dueville,616,81
1991,24039,Enego,41,92
1991,24040,Fara Vicentino,241,17
1991,24041,Foza,22,47
1991,24042,Gallio,46,13
1991,24043,Gambellara,243,68
1991,24044,Gambugliano,89,18
1991,24045,Grancona,129,98
1991,24046,Grisignano di Zocco,234,26
1991,24047,Grumolo delle Abbadesse,208,04
1991,24048,Isola Vicentina,266,96
1991,24049,Laghi,7,7
1991,24050,Lastebasse,15,33
1991,24051,Longare,229,03
1991,24052,Lonigo,256,79
1991,24053,Lugo di Vicenza,243,56
1991,24054,Lusiana,81,22
1991,24055,Malo,366,44
1991,24056,Marano Vicentino,622,13
1991,24057,Marostica,347,13
1991,24058,Mason Vicentino,243,82
1991,24059,Molvena,304,58
1991,24060,Montebello Vicentino,253,99
1991,24061,Montecchio Maggiore,644,07
1991,24062,Montecchio Precalcino,296,23
1991,24063,Monte di Malo,111,02
1991,24064,Montegalda,159,22
1991,24065,Montegaldella,113,86
1991,24066,Monteviale,221,43
1991,24067,Monticello Conte Otto,818,16
1991,24068,Montorso Vicentino,290,79
1991,24069,Mossano,108,66
1991,24070,Mussolente,394,47
1991,24071,Nanto,140,52
1991,24072,Nogarole Vicentino,91,92
1991,24073,Nove,582,4
1991,24074,Noventa Vicentina,344,77
1991,24075,Orgiano,164,49
1991,24076,Pedemonte,62,45
1991,24077,Pianezze,365,79
1991,24078,Piovene Rocchette,582,77
1991,24079,Poiana Maggiore,146,08
1991,24080,Posina,16,94
1991,24081,Pove del Grappa,251,63
1991,24082,Pozzoleone,203,37
1991,24083,Quinto Vicentino,235,61
1991,24084,Recoaro Terme,124,11
1991,24085,Roana,46,1
1991,24086,Romano d'Ezzelino,571,09
1991,24087,Rosà,493,27
1991,24088,Rossano Veneto,608,16
1991,24089,Rotzo,21,16
1991,24090,Salcedo,161,44
1991,24091,Sandrigo,257,67
1991,24092,San Germano dei Berici,65,66
1991,24093,San Nazario,71,9
1991,24094,San Pietro Mussolino,332,36
1991,24095,Santorso,377,06
1991,24096,San Vito di Leguzzano,501,15
1991,24097,Sarcedo,340,26
1991,24098,Sarego,209,04
1991,24099,Schiavon,186,79
1991,24100,Schio,549,24
1991,24101,Solagna,96,2
1991,24102,Sossano,183,63
1991,24103,Sovizzo,315,47
1991,24104,Tezze sul Brenta,527,59
1991,24105,Thiene,1.008,67
1991,24106,Tonezza del Cimone,46,2
